,business_id,attribute_name,attribute_value
0,O_X3PGhk3Y5JWVi866qlJg,Alcohol,full_bar
1,O_X3PGhk3Y5JWVi866qlJg,Waiter Service,true
2,O_X3PGhk3Y5JWVi866qlJg,Delivery,false
3,O_X3PGhk3Y5JWVi866qlJg,Attire,casual
4,O_X3PGhk3Y5JWVi866qlJg,Good for Kids,false
5,O_X3PGhk3Y5JWVi866qlJg,Take-out,false
6,O_X3PGhk3Y5JWVi866qlJg,Accepts Credit Cards,true
7,O_X3PGhk3Y5JWVi866qlJg,Price Range,2
8,O_X3PGhk3Y5JWVi866qlJg,Takes Reservations,true
9,O_X3PGhk3Y5JWVi866qlJg,Noise Level,average
10,O_X3PGhk3Y5JWVi866qlJg,Has TV,true
11,O_X3PGhk3Y5JWVi866qlJg,Wheelchair Accessible,true
12,O_X3PGhk3Y5JWVi866qlJg,Good For Groups,true
13,O_X3PGhk3Y5JWVi866qlJg,Outdoor Seating,true
14,O_X3PGhk3Y5JWVi866qlJg,Wi-Fi,free
15,QbrM7wqtmoNncqjc6GtFaQ,Accepts Credit Cards,true
16,QbrM7wqtmoNncqjc6GtFaQ,Price Range,2
17,7lbvsGKzhjuX3oJtaXJvOg,Accepts Credit Cards,true
18,7lbvsGKzhjuX3oJtaXJvOg,Price Range,1
19,ShUDf64NVkwCe8izdUbYuw,Alcohol,full_bar
20,ShUDf64NVkwCe8izdUbYuw,Good for Kids,true
21,-orgn4aQoie80CiWcoqkqg,Accepts Credit Cards,false
22,mQfT3JYu18HN22DVylcE7A,Alcohol,none
23,mQfT3JYu18HN22DVylcE7A,Waiter Service,false
24,mQfT3JYu18HN22DVylcE7A,Attire,casual
25,mQfT3JYu18HN22DVylcE7A,Delivery,false
26,mQfT3JYu18HN22DVylcE7A,Good for Kids,true
27,mQfT3JYu18HN22DVylcE7A,Take-out,true
28,mQfT3JYu18HN22DVylcE7A,Accepts Credit Cards,true
29,mQfT3JYu18HN22DVylcE7A,Price Range,1
30,mQfT3JYu18HN22DVylcE7A,Takes Reservations,false
31,mQfT3JYu18HN22DVylcE7A,Caters,true
32,mQfT3JYu18HN22DVylcE7A,Noise Level,average
33,mQfT3JYu18HN22DVylcE7A,Has TV,true
34,mQfT3JYu18HN22DVylcE7A,Wheelchair Accessible,true
35,mQfT3JYu18HN22DVylcE7A,Good For Groups,true
36,mQfT3JYu18HN22DVylcE7A,Outdoor Seating,true
37,mQfT3JYu18HN22DVylcE7A,Wi-Fi,no
38,cqXv3w9Mf-aVi4PPRspfFQ,Wheelchair Accessible,true
39,cqXv3w9Mf-aVi4PPRspfFQ,Accepts Credit Cards,true
40,cqXv3w9Mf-aVi4PPRspfFQ,Price Range,2
41,C2FC_hsVG4rupRESeUnrcA,Good for Kids,true
42,MiVcQsXp3TYUmeD7FSa-hA,Alcohol,none
43,MiVcQsXp3TYUmeD7FSa-hA,Waiter Service,false
44,MiVcQsXp3TYUmeD7FSa-hA,Attire,casual
45,MiVcQsXp3TYUmeD7FSa-hA,Delivery,true
46,MiVcQsXp3TYUmeD7FSa-hA,Good for Kids,true
47,MiVcQsXp3TYUmeD7FSa-hA,Take-out,true
48,MiVcQsXp3TYUmeD7FSa-hA,Accepts Credit Cards,true
49,MiVcQsXp3TYUmeD7FSa-hA,Price Range,1
50,MiVcQsXp3TYUmeD7FSa-hA,Takes Reservations,true
51,MiVcQsXp3TYUmeD7FSa-hA,Caters,true
52,MiVcQsXp3TYUmeD7FSa-hA,Noise Level,average
53,MiVcQsXp3TYUmeD7FSa-hA,Has TV,false
54,MiVcQsXp3TYUmeD7FSa-hA,Wheelchair Accessible,true
55,MiVcQsXp3TYUmeD7FSa-hA,Good For Groups,true
56,MiVcQsXp3TYUmeD7FSa-hA,Outdoor Seating,true
57,MiVcQsXp3TYUmeD7FSa-hA,Wi-Fi,free
58,2agDSZF593OlXDj7SZtVxw,By Appointment Only,true
59,2agDSZF593OlXDj7SZtVxw,Wheelchair Accessible,true
60,2agDSZF593OlXDj7SZtVxw,Accepts Credit Cards,true
61,2agDSZF593OlXDj7SZtVxw,Accepts Insurance,false
62,_IwgdSjrIMwAcQdeLNhcZQ,Coat Check,false
63,_IwgdSjrIMwAcQdeLNhcZQ,Alcohol,full_bar
64,_IwgdSjrIMwAcQdeLNhcZQ,Accepts Credit Cards,true
65,_IwgdSjrIMwAcQdeLNhcZQ,Price Range,3
66,_IwgdSjrIMwAcQdeLNhcZQ,Smoking,yes
67,_IwgdSjrIMwAcQdeLNhcZQ,Noise Level,quiet
68,_IwgdSjrIMwAcQdeLNhcZQ,Wheelchair Accessible,true
69,_IwgdSjrIMwAcQdeLNhcZQ,Has TV,true
70,_IwgdSjrIMwAcQdeLNhcZQ,Good For Groups,true
71,_IwgdSjrIMwAcQdeLNhcZQ,Outdoor Seating,true
72,_IwgdSjrIMwAcQdeLNhcZQ,Good For Dancing,true
73,ClluhYAaVzuoha89uJmr7g,Accepts Credit Cards,true
74,ClluhYAaVzuoha89uJmr7g,Price Range,4
75,ClluhYAaVzuoha89uJmr7g,Wi-Fi,no
76,tl9XIP5trlkcuSfTQqe5jg,Alcohol,none
77,tl9XIP5trlkcuSfTQqe5jg,Waiter Service,false
78,tl9XIP5trlkcuSfTQqe5jg,Delivery,false
79,tl9XIP5trlkcuSfTQqe5jg,Attire,casual
80,tl9XIP5trlkcuSfTQqe5jg,Good for Kids,true
81,tl9XIP5trlkcuSfTQqe5jg,Drive-Thru,true
82,tl9XIP5trlkcuSfTQqe5jg,Take-out,true
83,tl9XIP5trlkcuSfTQqe5jg,Accepts Credit Cards,true
84,tl9XIP5trlkcuSfTQqe5jg,Price Range,1
85,tl9XIP5trlkcuSfTQqe5jg,Takes Reservations,false
86,tl9XIP5trlkcuSfTQqe5jg,Caters,false
87,tl9XIP5trlkcuSfTQqe5jg,Noise Level,average
88,tl9XIP5trlkcuSfTQqe5jg,Has TV,true
89,tl9XIP5trlkcuSfTQqe5jg,Outdoor Seating,false
90,tl9XIP5trlkcuSfTQqe5jg,Wi-Fi,free
91,6zXaBSWYQThXT5z9IDY8lw,By Appointment Only,false
92,6zXaBSWYQThXT5z9IDY8lw,Good for Kids,true
93,6zXaBSWYQThXT5z9IDY8lw,Wheelchair Accessible,true
94,6zXaBSWYQThXT5z9IDY8lw,Accepts Credit Cards,true
95,6zXaBSWYQThXT5z9IDY8lw,Price Range,1
96,lUoiT_fR73R8eMiiIcqMLA,Accepts Credit Cards,true
97,lUoiT_fR73R8eMiiIcqMLA,Price Range,3
98,lUoiT_fR73R8eMiiIcqMLA,Wi-Fi,free
99,W0eocyGliMbg8NScqERaiA,Coat Check,false
100,W0eocyGliMbg8NScqERaiA,Alcohol,full_bar
101,W0eocyGliMbg8NScqERaiA,Waiter Service,true
102,W0eocyGliMbg8NScqERaiA,Happy Hour,true
103,W0eocyGliMbg8NScqERaiA,Attire,dressy
104,W0eocyGliMbg8NScqERaiA,Delivery,false
105,W0eocyGliMbg8NScqERaiA,Good for Kids,false
106,W0eocyGliMbg8NScqERaiA,Take-out,false
107,W0eocyGliMbg8NScqERaiA,Accepts Credit Cards,true
108,W0eocyGliMbg8NScqERaiA,Price Range,2
109,W0eocyGliMbg8NScqERaiA,Takes Reservations,true
110,W0eocyGliMbg8NScqERaiA,Smoking,outdoor
111,W0eocyGliMbg8NScqERaiA,Caters,true
112,W0eocyGliMbg8NScqERaiA,Noise Level,loud
113,W0eocyGliMbg8NScqERaiA,Has TV,true
114,W0eocyGliMbg8NScqERaiA,Wheelchair Accessible,true
115,W0eocyGliMbg8NScqERaiA,Good For Groups,true
116,W0eocyGliMbg8NScqERaiA,Outdoor Seating,true
117,W0eocyGliMbg8NScqERaiA,Wi-Fi,paid
118,W0eocyGliMbg8NScqERaiA,Good For Dancing,false
119,0A8myHrHPpiZGvGyFIBA1w,By Appointment Only,true
120,J8T6Fu7RSczrflZ5rC6wvQ,Accepts Credit Cards,true
121,wAs-stW0HP6OXVXdpawnBQ,Alcohol,beer_and_wine
122,wAs-stW0HP6OXVXdpawnBQ,Waiter Service,true
123,wAs-stW0HP6OXVXdpawnBQ,Delivery,false
124,wAs-stW0HP6OXVXdpawnBQ,Attire,casual
125,wAs-stW0HP6OXVXdpawnBQ,Good for Kids,true
126,wAs-stW0HP6OXVXdpawnBQ,Take-out,true
127,wAs-stW0HP6OXVXdpawnBQ,Accepts Credit Cards,true
128,wAs-stW0HP6OXVXdpawnBQ,Price Range,1
129,wAs-stW0HP6OXVXdpawnBQ,Takes Reservations,true
130,wAs-stW0HP6OXVXdpawnBQ,Caters,false
131,wAs-stW0HP6OXVXdpawnBQ,Noise Level,quiet
132,wAs-stW0HP6OXVXdpawnBQ,Has TV,false
133,wAs-stW0HP6OXVXdpawnBQ,Good For Groups,true
134,wAs-stW0HP6OXVXdpawnBQ,Outdoor Seating,false
135,wAs-stW0HP6OXVXdpawnBQ,Wi-Fi,no
136,5CfsPNHmj7J8l1qXk-USsw,Accepts Credit Cards,true
137,sbD4f8aOsXZ6PJYh1kN4Ag,Wheelchair Accessible,true
138,sbD4f8aOsXZ6PJYh1kN4Ag,Accepts Credit Cards,true
139,sbD4f8aOsXZ6PJYh1kN4Ag,Price Range,2
140,vf5AdVCI7rEvXF2Falgp_w,Accepts Credit Cards,true
141,vf5AdVCI7rEvXF2Falgp_w,Price Range,1
142,vf5AdVCI7rEvXF2Falgp_w,Wi-Fi,free
143,gtQzAiy7D-dPU8WzT3jX3Q,Wheelchair Accessible,true
144,gtQzAiy7D-dPU8WzT3jX3Q,Accepts Credit Cards,true
145,gtQzAiy7D-dPU8WzT3jX3Q,Price Range,4
146,As7RemQnYJskIBPWUh3MIg,Alcohol,full_bar
147,As7RemQnYJskIBPWUh3MIg,Happy Hour,true
148,As7RemQnYJskIBPWUh3MIg,Accepts Credit Cards,true
149,nV_7lAYFVISEs-Te4e39gA,Accepts Credit Cards,true
150,59IPTGX3P6gxpIFYYv1kZg,Accepts Credit Cards,true
151,59IPTGX3P6gxpIFYYv1kZg,Price Range,2
152,HfWkdqxegjiGEXzI8j7Wwg,By Appointment Only,false
153,HfWkdqxegjiGEXzI8j7Wwg,Wheelchair Accessible,true
154,HfWkdqxegjiGEXzI8j7Wwg,Accepts Credit Cards,true
155,HfWkdqxegjiGEXzI8j7Wwg,Price Range,2
156,31bXixwy2GNmRlhpl21reA,Wheelchair Accessible,true
157,31bXixwy2GNmRlhpl21reA,Accepts Credit Cards,true
158,31bXixwy2GNmRlhpl21reA,Price Range,3
159,xvCWAzIS_EpTwDIUVhY_Og,Waiter Service,false
160,xvCWAzIS_EpTwDIUVhY_Og,Caters,false
161,xvCWAzIS_EpTwDIUVhY_Og,Accepts Credit Cards,true
162,nKrUueeLiIAeMH8nGhdh3A,Waiter Service,false
163,nKrUueeLiIAeMH8nGhdh3A,Attire,casual
164,nKrUueeLiIAeMH8nGhdh3A,Has TV,true
165,nKrUueeLiIAeMH8nGhdh3A,Price Range,1
166,nKrUueeLiIAeMH8nGhdh3A,Outdoor Seating,false
167,nKrUueeLiIAeMH8nGhdh3A,Wi-Fi,free
168,h3suimHlSVRu9V_AJxbbGw,Accepts Credit Cards,true
169,h3suimHlSVRu9V_AJxbbGw,Price Range,2
170,fI2DvmH3ikpZnVaxWyL66Q,Good for Kids,true
171,-tNGtyL1Tx20Od4npKkdcg,Accepts Credit Cards,true
172,RxYntP8Gsu9hH6gtGjQGVw,Waiter Service,true
173,RxYntP8Gsu9hH6gtGjQGVw,Delivery,true
174,RxYntP8Gsu9hH6gtGjQGVw,Attire,casual
175,RxYntP8Gsu9hH6gtGjQGVw,Good for Kids,true
176,RxYntP8Gsu9hH6gtGjQGVw,Take-out,true
177,RxYntP8Gsu9hH6gtGjQGVw,Accepts Credit Cards,true
178,RxYntP8Gsu9hH6gtGjQGVw,Price Range,2
179,RxYntP8Gsu9hH6gtGjQGVw,Takes Reservations,false
180,RxYntP8Gsu9hH6gtGjQGVw,Caters,true
181,RxYntP8Gsu9hH6gtGjQGVw,Noise Level,quiet
182,RxYntP8Gsu9hH6gtGjQGVw,Has TV,true
183,RxYntP8Gsu9hH6gtGjQGVw,Good For Groups,false
184,RxYntP8Gsu9hH6gtGjQGVw,Outdoor Seating,false
185,CqhsIZ7TzCfJTrZqg5-gqQ,Coat Check,false
186,CqhsIZ7TzCfJTrZqg5-gqQ,Alcohol,full_bar
187,CqhsIZ7TzCfJTrZqg5-gqQ,Waiter Service,true
188,CqhsIZ7TzCfJTrZqg5-gqQ,Happy Hour,true
189,CqhsIZ7TzCfJTrZqg5-gqQ,Attire,casual
190,CqhsIZ7TzCfJTrZqg5-gqQ,Delivery,false
191,CqhsIZ7TzCfJTrZqg5-gqQ,Good for Kids,false
192,CqhsIZ7TzCfJTrZqg5-gqQ,Take-out,true
193,CqhsIZ7TzCfJTrZqg5-gqQ,Accepts Credit Cards,true
194,CqhsIZ7TzCfJTrZqg5-gqQ,Price Range,1
195,CqhsIZ7TzCfJTrZqg5-gqQ,Takes Reservations,true
196,CqhsIZ7TzCfJTrZqg5-gqQ,Order at Counter,false
197,CqhsIZ7TzCfJTrZqg5-gqQ,Smoking,outdoor
198,CqhsIZ7TzCfJTrZqg5-gqQ,Caters,false
199,CqhsIZ7TzCfJTrZqg5-gqQ,Noise Level,average
200,CqhsIZ7TzCfJTrZqg5-gqQ,Has TV,true
201,CqhsIZ7TzCfJTrZqg5-gqQ,Wheelchair Accessible,true
202,CqhsIZ7TzCfJTrZqg5-gqQ,Good For Groups,true
203,CqhsIZ7TzCfJTrZqg5-gqQ,Outdoor Seating,true
204,CqhsIZ7TzCfJTrZqg5-gqQ,Wi-Fi,free
205,CqhsIZ7TzCfJTrZqg5-gqQ,Good For Dancing,false
206,CqhsIZ7TzCfJTrZqg5-gqQ,Good For Kids,false
207,rV1WnfnwepMajkwY4Vtoag,Accepts Credit Cards,true
208,_yGo2ubkwQPXcKrdcURSNw,Accepts Credit Cards,true
209,_yGo2ubkwQPXcKrdcURSNw,Price Range,3
210,_yGo2ubkwQPXcKrdcURSNw,Wi-Fi,paid
211,hBhIdGHnOrybzw-VuGuBig,By Appointment Only,false
212,ChmqODwuYP1ewjmWXtxtsg,Alcohol,beer_and_wine
213,ChmqODwuYP1ewjmWXtxtsg,Waiter Service,true
214,ChmqODwuYP1ewjmWXtxtsg,Attire,casual
215,ChmqODwuYP1ewjmWXtxtsg,Delivery,false
216,ChmqODwuYP1ewjmWXtxtsg,Good for Kids,true
217,ChmqODwuYP1ewjmWXtxtsg,Take-out,true
218,ChmqODwuYP1ewjmWXtxtsg,Accepts Credit Cards,true
219,ChmqODwuYP1ewjmWXtxtsg,Price Range,2
220,ChmqODwuYP1ewjmWXtxtsg,Takes Reservations,true
221,ChmqODwuYP1ewjmWXtxtsg,Caters,true
222,ChmqODwuYP1ewjmWXtxtsg,Noise Level,average
223,ChmqODwuYP1ewjmWXtxtsg,Has TV,false
224,ChmqODwuYP1ewjmWXtxtsg,Wheelchair Accessible,true
225,ChmqODwuYP1ewjmWXtxtsg,Good For Groups,true
226,ChmqODwuYP1ewjmWXtxtsg,Outdoor Seating,false
227,ChmqODwuYP1ewjmWXtxtsg,Wi-Fi,no
228,nBqXILuCGVZ4-aPuRKjCCg,Waiter Service,false
229,nBqXILuCGVZ4-aPuRKjCCg,Attire,casual
230,nBqXILuCGVZ4-aPuRKjCCg,Good for Kids,true
231,nBqXILuCGVZ4-aPuRKjCCg,Has TV,true
232,nBqXILuCGVZ4-aPuRKjCCg,Good For Groups,true
233,nBqXILuCGVZ4-aPuRKjCCg,Outdoor Seating,false
234,nBqXILuCGVZ4-aPuRKjCCg,Takes Reservations,false
235,IW9yHeqnFCEbO5s1UCrqeA,Wheelchair Accessible,true
236,IW9yHeqnFCEbO5s1UCrqeA,Accepts Credit Cards,true
237,IW9yHeqnFCEbO5s1UCrqeA,Price Range,1
238,GtSBeSaMK9aNJT8Ka4GkDQ,By Appointment Only,true
239,2Bd3gy5lmINZ-2QxXVRLdA,Accepts Credit Cards,true
240,2Bd3gy5lmINZ-2QxXVRLdA,Price Range,1
241,2Bd3gy5lmINZ-2QxXVRLdA,Outdoor Seating,true
242,2Bd3gy5lmINZ-2QxXVRLdA,Wi-Fi,free
243,Xa-NZsGIIU9BWrFetK0EvA,Accepts Credit Cards,true
244,Xa-NZsGIIU9BWrFetK0EvA,Price Range,3
245,-KF9RQPkmIOHfE0tzUu9bg,Wheelchair Accessible,true
246,-KF9RQPkmIOHfE0tzUu9bg,Accepts Credit Cards,true
247,-KF9RQPkmIOHfE0tzUu9bg,Outdoor Seating,true
248,-KF9RQPkmIOHfE0tzUu9bg,Price Range,1
249,-KF9RQPkmIOHfE0tzUu9bg,Wi-Fi,no
250,6w_k3NCXF_p8UTWDxpOF5w,Delivery,true
251,6w_k3NCXF_p8UTWDxpOF5w,Attire,casual
252,6w_k3NCXF_p8UTWDxpOF5w,Good for Kids,true
253,6w_k3NCXF_p8UTWDxpOF5w,Take-out,true
254,6w_k3NCXF_p8UTWDxpOF5w,Accepts Credit Cards,true
255,6w_k3NCXF_p8UTWDxpOF5w,Takes Reservations,false
256,6w_k3NCXF_p8UTWDxpOF5w,Caters,true
257,6w_k3NCXF_p8UTWDxpOF5w,Noise Level,average
258,6w_k3NCXF_p8UTWDxpOF5w,Has TV,false
259,6w_k3NCXF_p8UTWDxpOF5w,Good For Groups,true
260,6w_k3NCXF_p8UTWDxpOF5w,Outdoor Seating,false
261,8ZFPlegggez_VSoBoqRFvg,Price Range,1
262,yvSVDO3llx9Eg2lNreJqmg,Accepts Credit Cards,true
263,yvSVDO3llx9Eg2lNreJqmg,Price Range,2
264,Atbyj1_dXFUDysgvGKMdbw,By Appointment Only,false
265,Atbyj1_dXFUDysgvGKMdbw,Accepts Credit Cards,true
266,Atbyj1_dXFUDysgvGKMdbw,Price Range,2
267,1zM7busmXUfYrbNiIHIcuw,Good for Kids,true
268,MwIM3O0p8V_y2ttXz0_xGw,By Appointment Only,true
269,MFxhYRVqFcEZC009-6yfOw,Good for Kids,true
270,_DZfwU9dE9Q5I1-1jiM1vQ,Alcohol,full_bar
271,_DZfwU9dE9Q5I1-1jiM1vQ,Waiter Service,true
272,_DZfwU9dE9Q5I1-1jiM1vQ,Attire,casual
273,_DZfwU9dE9Q5I1-1jiM1vQ,Delivery,true
274,_DZfwU9dE9Q5I1-1jiM1vQ,Good for Kids,false
275,_DZfwU9dE9Q5I1-1jiM1vQ,Take-out,true
276,_DZfwU9dE9Q5I1-1jiM1vQ,Accepts Credit Cards,true
277,_DZfwU9dE9Q5I1-1jiM1vQ,Price Range,2
278,_DZfwU9dE9Q5I1-1jiM1vQ,Takes Reservations,false
279,_DZfwU9dE9Q5I1-1jiM1vQ,Smoking,yes
280,_DZfwU9dE9Q5I1-1jiM1vQ,Caters,false
281,_DZfwU9dE9Q5I1-1jiM1vQ,Noise Level,quiet
282,_DZfwU9dE9Q5I1-1jiM1vQ,Has TV,true
283,_DZfwU9dE9Q5I1-1jiM1vQ,Good For Groups,false
284,_DZfwU9dE9Q5I1-1jiM1vQ,Outdoor Seating,false
285,_DZfwU9dE9Q5I1-1jiM1vQ,Wi-Fi,no
286,_DZfwU9dE9Q5I1-1jiM1vQ,Good For Dancing,true
287,i52eORoeWujZ9y_w3Dos5Q,Wheelchair Accessible,true
288,i52eORoeWujZ9y_w3Dos5Q,Accepts Credit Cards,true
289,i52eORoeWujZ9y_w3Dos5Q,Price Range,2
290,AZqwEahCRmVpyMm-OzueGQ,By Appointment Only,false
291,AZqwEahCRmVpyMm-OzueGQ,Accepts Credit Cards,true
292,AZqwEahCRmVpyMm-OzueGQ,Price Range,2
293,z4GddMQN7_GqT8SYj4S0aw,Good for Kids,true
294,9ggd0DySEZNw990JGaFSQQ,Open 24 Hours,false
295,9ggd0DySEZNw990JGaFSQQ,Wheelchair Accessible,true
296,9ggd0DySEZNw990JGaFSQQ,Accepts Credit Cards,true
297,9ggd0DySEZNw990JGaFSQQ,Price Range,2
298,lK408BRA42pDIwk89dxSVQ,Accepts Credit Cards,true
299,lK408BRA42pDIwk89dxSVQ,Price Range,2
300,lK408BRA42pDIwk89dxSVQ,Wi-Fi,free
301,sSJeLgg3bQTR3vHkkJd9rQ,Accepts Credit Cards,true
302,sSJeLgg3bQTR3vHkkJd9rQ,Price Range,2
303,9nJi8n5l7ufJZ9PbhNJT8w,Accepts Credit Cards,true
304,9nJi8n5l7ufJZ9PbhNJT8w,Price Range,2
305,EeQlS9VLlfWT25-MeYsJTg,Alcohol,beer_and_wine
306,EeQlS9VLlfWT25-MeYsJTg,Waiter Service,false
307,EeQlS9VLlfWT25-MeYsJTg,Delivery,false
308,EeQlS9VLlfWT25-MeYsJTg,Attire,casual
309,EeQlS9VLlfWT25-MeYsJTg,Good for Kids,true
310,EeQlS9VLlfWT25-MeYsJTg,Take-out,true
311,EeQlS9VLlfWT25-MeYsJTg,Accepts Credit Cards,true
312,EeQlS9VLlfWT25-MeYsJTg,Price Range,1
313,EeQlS9VLlfWT25-MeYsJTg,Takes Reservations,false
314,EeQlS9VLlfWT25-MeYsJTg,Caters,true
315,EeQlS9VLlfWT25-MeYsJTg,Has TV,false
316,EeQlS9VLlfWT25-MeYsJTg,Wheelchair Accessible,true
317,EeQlS9VLlfWT25-MeYsJTg,Good For Groups,false
318,EeQlS9VLlfWT25-MeYsJTg,Outdoor Seating,true
319,4lmMryYEDFbRVLAJVSTKEg,By Appointment Only,false
320,4lmMryYEDFbRVLAJVSTKEg,Accepts Credit Cards,true
321,4lmMryYEDFbRVLAJVSTKEg,Price Range,2
322,yC3ydbHAJTZ22FZp4LynFg,Alcohol,none
323,yC3ydbHAJTZ22FZp4LynFg,Waiter Service,false
324,yC3ydbHAJTZ22FZp4LynFg,Attire,casual
325,yC3ydbHAJTZ22FZp4LynFg,Delivery,false
326,yC3ydbHAJTZ22FZp4LynFg,Good for Kids,true
327,yC3ydbHAJTZ22FZp4LynFg,Take-out,true
328,yC3ydbHAJTZ22FZp4LynFg,Accepts Credit Cards,true
329,yC3ydbHAJTZ22FZp4LynFg,Price Range,1
330,yC3ydbHAJTZ22FZp4LynFg,Takes Reservations,false
331,yC3ydbHAJTZ22FZp4LynFg,Caters,true
332,yC3ydbHAJTZ22FZp4LynFg,Noise Level,quiet
