"business_id","attribute_name","attribute_value"
"O_X3PGhk3Y5JWVi866qlJg","Alcohol","full_bar"
"O_X3PGhk3Y5JWVi866qlJg","Waiter Service","true"
"O_X3PGhk3Y5JWVi866qlJg","Delivery","false"
"O_X3PGhk3Y5JWVi866qlJg","Attire","casual"
"O_X3PGhk3Y5JWVi866qlJg","Good for Kids","false"
"O_X3PGhk3Y5JWVi866qlJg","Take-out","false"
"O_X3PGhk3Y5JWVi866qlJg","Accepts Credit Cards","true"
"O_X3PGhk3Y5JWVi866qlJg","Price Range","2"
"O_X3PGhk3Y5JWVi866qlJg","Takes Reservations","true"
"O_X3PGhk3Y5JWVi866qlJg","Noise Level","average"
"O_X3PGhk3Y5JWVi866qlJg","Has TV","true"
"O_X3PGhk3Y5JWVi866qlJg","Wheelchair Accessible","true"
"O_X3PGhk3Y5JWVi866qlJg","Good For Groups","true"
"O_X3PGhk3Y5JWVi866qlJg","Outdoor Seating","true"
"O_X3PGhk3Y5JWVi866qlJg","Wi-Fi","free"
"QbrM7wqtmoNncqjc6GtFaQ","Accepts Credit Cards","true"
"QbrM7wqtmoNncqjc6GtFaQ","Price Range","2"
"7lbvsGKzhjuX3oJtaXJvOg","Accepts Credit Cards","true"
"7lbvsGKzhjuX3oJtaXJvOg","Price Range","1"
"ShUDf64NVkwCe8izdUbYuw","Alcohol","full_bar"
"ShUDf64NVkwCe8izdUbYuw","Good for Kids","true"
"-orgn4aQoie80CiWcoqkqg","Accepts Credit Cards","false"
"mQfT3JYu18HN22DVylcE7A","Alcohol","none"
"mQfT3JYu18HN22DVylcE7A","Waiter Service","false"
"mQfT3JYu18HN22DVylcE7A","Attire","casual"
"mQfT3JYu18HN22DVylcE7A","Delivery","false"
"mQfT3JYu18HN22DVylcE7A","Good for Kids","true"
"mQfT3JYu18HN22DVylcE7A","Take-out","true"
"mQfT3JYu18HN22DVylcE7A","Accepts Credit Cards","true"
"mQfT3JYu18HN22DVylcE7A","Price Range","1"
"mQfT3JYu18HN22DVylcE7A","Takes Reservations","false"
"mQfT3JYu18HN22DVylcE7A","Caters","true"
"mQfT3JYu18HN22DVylcE7A","Noise Level","average"
"mQfT3JYu18HN22DVylcE7A","Has TV","true"
"mQfT3JYu18HN22DVylcE7A","Wheelchair Accessible","true"
"mQfT3JYu18HN22DVylcE7A","Good For Groups","true"
"mQfT3JYu18HN22DVylcE7A","Outdoor Seating","true"
"mQfT3JYu18HN22DVylcE7A","Wi-Fi","no"
"cqXv3w9Mf-aVi4PPRspfFQ","Wheelchair Accessible","true"
"cqXv3w9Mf-aVi4PPRspfFQ","Accepts Credit Cards","true"
"cqXv3w9Mf-aVi4PPRspfFQ","Price Range","2"
"C2FC_hsVG4rupRESeUnrcA","Good for Kids","true"
"MiVcQsXp3TYUmeD7FSa-hA","Alcohol","none"
"MiVcQsXp3TYUmeD7FSa-hA","Waiter Service","false"
"MiVcQsXp3TYUmeD7FSa-hA","Attire","casual"
"MiVcQsXp3TYUmeD7FSa-hA","Delivery","true"
"MiVcQsXp3TYUmeD7FSa-hA","Good for Kids","true"
"MiVcQsXp3TYUmeD7FSa-hA","Take-out","true"
"MiVcQsXp3TYUmeD7FSa-hA","Accepts Credit Cards","true"
"MiVcQsXp3TYUmeD7FSa-hA","Price Range","1"
"MiVcQsXp3TYUmeD7FSa-hA","Takes Reservations","true"
"MiVcQsXp3TYUmeD7FSa-hA","Caters","true"
"MiVcQsXp3TYUmeD7FSa-hA","Noise Level","average"
"MiVcQsXp3TYUmeD7FSa-hA","Has TV","false"
"MiVcQsXp3TYUmeD7FSa-hA","Wheelchair Accessible","true"
"MiVcQsXp3TYUmeD7FSa-hA","Good For Groups","true"
"MiVcQsXp3TYUmeD7FSa-hA","Outdoor Seating","true"
"MiVcQsXp3TYUmeD7FSa-hA","Wi-Fi","free"
"2agDSZF593OlXDj7SZtVxw","By Appointment Only","true"
"2agDSZF593OlXDj7SZtVxw","Wheelchair Accessible","true"
"2agDSZF593OlXDj7SZtVxw","Accepts Credit Cards","true"
"2agDSZF593OlXDj7SZtVxw","Accepts Insurance","false"
"_IwgdSjrIMwAcQdeLNhcZQ","Coat Check","false"
"_IwgdSjrIMwAcQdeLNhcZQ","Alcohol","full_bar"
"_IwgdSjrIMwAcQdeLNhcZQ","Accepts Credit Cards","true"
"_IwgdSjrIMwAcQdeLNhcZQ","Price Range","3"
"_IwgdSjrIMwAcQdeLNhcZQ","Smoking","yes"
"_IwgdSjrIMwAcQdeLNhcZQ","Noise Level","quiet"
"_IwgdSjrIMwAcQdeLNhcZQ","Wheelchair Accessible","true"
"_IwgdSjrIMwAcQdeLNhcZQ","Has TV","true"
"_IwgdSjrIMwAcQdeLNhcZQ","Good For Groups","true"
"_IwgdSjrIMwAcQdeLNhcZQ","Outdoor Seating","true"
"_IwgdSjrIMwAcQdeLNhcZQ","Good For Dancing","true"
"ClluhYAaVzuoha89uJmr7g","Accepts Credit Cards","true"
"ClluhYAaVzuoha89uJmr7g","Price Range","4"
"ClluhYAaVzuoha89uJmr7g","Wi-Fi","no"
"tl9XIP5trlkcuSfTQqe5jg","Alcohol","none"
"tl9XIP5trlkcuSfTQqe5jg","Waiter Service","false"
"tl9XIP5trlkcuSfTQqe5jg","Delivery","false"
"tl9XIP5trlkcuSfTQqe5jg","Attire","casual"
"tl9XIP5trlkcuSfTQqe5jg","Good for Kids","true"
"tl9XIP5trlkcuSfTQqe5jg","Drive-Thru","true"
"tl9XIP5trlkcuSfTQqe5jg","Take-out","true"
"tl9XIP5trlkcuSfTQqe5jg","Accepts Credit Cards","true"
"tl9XIP5trlkcuSfTQqe5jg","Price Range","1"
"tl9XIP5trlkcuSfTQqe5jg","Takes Reservations","false"
"tl9XIP5trlkcuSfTQqe5jg","Caters","false"
"tl9XIP5trlkcuSfTQqe5jg","Noise Level","average"
"tl9XIP5trlkcuSfTQqe5jg","Has TV","true"
"tl9XIP5trlkcuSfTQqe5jg","Outdoor Seating","false"
"tl9XIP5trlkcuSfTQqe5jg","Wi-Fi","free"
"6zXaBSWYQThXT5z9IDY8lw","By Appointment Only","false"
"6zXaBSWYQThXT5z9IDY8lw","Good for Kids","true"
"6zXaBSWYQThXT5z9IDY8lw","Wheelchair Accessible","true"
"6zXaBSWYQThXT5z9IDY8lw","Accepts Credit Cards","true"
"6zXaBSWYQThXT5z9IDY8lw","Price Range","1"
"lUoiT_fR73R8eMiiIcqMLA","Accepts Credit Cards","true"
"lUoiT_fR73R8eMiiIcqMLA","Price Range","3"
"lUoiT_fR73R8eMiiIcqMLA","Wi-Fi","free"
"W0eocyGliMbg8NScqERaiA","Coat Check","false"
"W0eocyGliMbg8NScqERaiA","Alcohol","full_bar"
"W0eocyGliMbg8NScqERaiA","Waiter Service","true"
"W0eocyGliMbg8NScqERaiA","Happy Hour","true"
"W0eocyGliMbg8NScqERaiA","Attire","dressy"
"W0eocyGliMbg8NScqERaiA","Delivery","false"
"W0eocyGliMbg8NScqERaiA","Good for Kids","false"
"W0eocyGliMbg8NScqERaiA","Take-out","false"
"W0eocyGliMbg8NScqERaiA","Accepts Credit Cards","true"
"W0eocyGliMbg8NScqERaiA","Price Range","2"
"W0eocyGliMbg8NScqERaiA","Takes Reservations","true"
"W0eocyGliMbg8NScqERaiA","Smoking","outdoor"
"W0eocyGliMbg8NScqERaiA","Caters","true"
"W0eocyGliMbg8NScqERaiA","Noise Level","loud"
"W0eocyGliMbg8NScqERaiA","Has TV","true"
"W0eocyGliMbg8NScqERaiA","Wheelchair Accessible","true"
"W0eocyGliMbg8NScqERaiA","Good For Groups","true"
"W0eocyGliMbg8NScqERaiA","Outdoor Seating","true"
"W0eocyGliMbg8NScqERaiA","Wi-Fi","paid"
"W0eocyGliMbg8NScqERaiA","Good For Dancing","false"
"0A8myHrHPpiZGvGyFIBA1w","By Appointment Only","true"
"J8T6Fu7RSczrflZ5rC6wvQ","Accepts Credit Cards","true"
"wAs-stW0HP6OXVXdpawnBQ","Alcohol","beer_and_wine"
"wAs-stW0HP6OXVXdpawnBQ","Waiter Service","true"
"wAs-stW0HP6OXVXdpawnBQ","Delivery","false"
"wAs-stW0HP6OXVXdpawnBQ","Attire","casual"
"wAs-stW0HP6OXVXdpawnBQ","Good for Kids","true"
"wAs-stW0HP6OXVXdpawnBQ","Take-out","true"
"wAs-stW0HP6OXVXdpawnBQ","Accepts Credit Cards","true"
"wAs-stW0HP6OXVXdpawnBQ","Price Range","1"
"wAs-stW0HP6OXVXdpawnBQ","Takes Reservations","true"
"wAs-stW0HP6OXVXdpawnBQ","Caters","false"
"wAs-stW0HP6OXVXdpawnBQ","Noise Level","quiet"
"wAs-stW0HP6OXVXdpawnBQ","Has TV","false"
"wAs-stW0HP6OXVXdpawnBQ","Good For Groups","true"
"wAs-stW0HP6OXVXdpawnBQ","Outdoor Seating","false"
"wAs-stW0HP6OXVXdpawnBQ","Wi-Fi","no"
"5CfsPNHmj7J8l1qXk-USsw","Accepts Credit Cards","true"
"sbD4f8aOsXZ6PJYh1kN4Ag","Wheelchair Accessible","true"
"sbD4f8aOsXZ6PJYh1kN4Ag","Accepts Credit Cards","true"
"sbD4f8aOsXZ6PJYh1kN4Ag","Price Range","2"
"vf5AdVCI7rEvXF2Falgp_w","Accepts Credit Cards","true"
"vf5AdVCI7rEvXF2Falgp_w","Price Range","1"
"vf5AdVCI7rEvXF2Falgp_w","Wi-Fi","free"
"gtQzAiy7D-dPU8WzT3jX3Q","Wheelchair Accessible","true"
"gtQzAiy7D-dPU8WzT3jX3Q","Accepts Credit Cards","true"
"gtQzAiy7D-dPU8WzT3jX3Q","Price Range","4"
"As7RemQnYJskIBPWUh3MIg","Alcohol","full_bar"
"As7RemQnYJskIBPWUh3MIg","Happy Hour","true"
"As7RemQnYJskIBPWUh3MIg","Accepts Credit Cards","true"
"nV_7lAYFVISEs-Te4e39gA","Accepts Credit Cards","true"
"59IPTGX3P6gxpIFYYv1kZg","Accepts Credit Cards","true"
"59IPTGX3P6gxpIFYYv1kZg","Price Range","2"
"HfWkdqxegjiGEXzI8j7Wwg","By Appointment Only","false"
"HfWkdqxegjiGEXzI8j7Wwg","Wheelchair Accessible","true"
"HfWkdqxegjiGEXzI8j7Wwg","Accepts Credit Cards","true"
"HfWkdqxegjiGEXzI8j7Wwg","Price Range","2"
"31bXixwy2GNmRlhpl21reA","Wheelchair Accessible","true"
"31bXixwy2GNmRlhpl21reA","Accepts Credit Cards","true"
"31bXixwy2GNmRlhpl21reA","Price Range","3"
"xvCWAzIS_EpTwDIUVhY_Og","Waiter Service","false"
"xvCWAzIS_EpTwDIUVhY_Og","Caters","false"
"xvCWAzIS_EpTwDIUVhY_Og","Accepts Credit Cards","true"
"nKrUueeLiIAeMH8nGhdh3A","Waiter Service","false"
"nKrUueeLiIAeMH8nGhdh3A","Attire","casual"
"nKrUueeLiIAeMH8nGhdh3A","Has TV","true"
"nKrUueeLiIAeMH8nGhdh3A","Price Range","1"
"nKrUueeLiIAeMH8nGhdh3A","Outdoor Seating","false"
"nKrUueeLiIAeMH8nGhdh3A","Wi-Fi","free"
"h3suimHlSVRu9V_AJxbbGw","Accepts Credit Cards","true"
"h3suimHlSVRu9V_AJxbbGw","Price Range","2"
"fI2DvmH3ikpZnVaxWyL66Q","Good for Kids","true"
"-tNGtyL1Tx20Od4npKkdcg","Accepts Credit Cards","true"
"RxYntP8Gsu9hH6gtGjQGVw","Waiter Service","true"
"RxYntP8Gsu9hH6gtGjQGVw","Delivery","true"
"RxYntP8Gsu9hH6gtGjQGVw","Attire","casual"
"RxYntP8Gsu9hH6gtGjQGVw","Good for Kids","true"
"RxYntP8Gsu9hH6gtGjQGVw","Take-out","true"
"RxYntP8Gsu9hH6gtGjQGVw","Accepts Credit Cards","true"
"RxYntP8Gsu9hH6gtGjQGVw","Price Range","2"
"RxYntP8Gsu9hH6gtGjQGVw","Takes Reservations","false"
"RxYntP8Gsu9hH6gtGjQGVw","Caters","true"
"RxYntP8Gsu9hH6gtGjQGVw","Noise Level","quiet"
"RxYntP8Gsu9hH6gtGjQGVw","Has TV","true"
"RxYntP8Gsu9hH6gtGjQGVw","Good For Groups","false"
"RxYntP8Gsu9hH6gtGjQGVw","Outdoor Seating","false"
"CqhsIZ7TzCfJTrZqg5-gqQ","Coat Check","false"
"CqhsIZ7TzCfJTrZqg5-gqQ","Alcohol","full_bar"
"CqhsIZ7TzCfJTrZqg5-gqQ","Waiter Service","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Happy Hour","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Attire","casual"
"CqhsIZ7TzCfJTrZqg5-gqQ","Delivery","false"
"CqhsIZ7TzCfJTrZqg5-gqQ","Good for Kids","false"
"CqhsIZ7TzCfJTrZqg5-gqQ","Take-out","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Accepts Credit Cards","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Price Range","1"
"CqhsIZ7TzCfJTrZqg5-gqQ","Takes Reservations","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Order at Counter","false"
"CqhsIZ7TzCfJTrZqg5-gqQ","Smoking","outdoor"
"CqhsIZ7TzCfJTrZqg5-gqQ","Caters","false"
"CqhsIZ7TzCfJTrZqg5-gqQ","Noise Level","average"
"CqhsIZ7TzCfJTrZqg5-gqQ","Has TV","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Wheelchair Accessible","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Good For Groups","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Outdoor Seating","true"
"CqhsIZ7TzCfJTrZqg5-gqQ","Wi-Fi","free"
"CqhsIZ7TzCfJTrZqg5-gqQ","Good For Dancing","false"
"CqhsIZ7TzCfJTrZqg5-gqQ","Good For Kids","false"
"rV1WnfnwepMajkwY4Vtoag","Accepts Credit Cards","true"
"_yGo2ubkwQPXcKrdcURSNw","Accepts Credit Cards","true"
"_yGo2ubkwQPXcKrdcURSNw","Price Range","3"
"_yGo2ubkwQPXcKrdcURSNw","Wi-Fi","paid"
"hBhIdGHnOrybzw-VuGuBig","By Appointment Only","false"
"ChmqODwuYP1ewjmWXtxtsg","Alcohol","beer_and_wine"
"ChmqODwuYP1ewjmWXtxtsg","Waiter Service","true"
"ChmqODwuYP1ewjmWXtxtsg","Attire","casual"
"ChmqODwuYP1ewjmWXtxtsg","Delivery","false"
"ChmqODwuYP1ewjmWXtxtsg","Good for Kids","true"
"ChmqODwuYP1ewjmWXtxtsg","Take-out","true"
"ChmqODwuYP1ewjmWXtxtsg","Accepts Credit Cards","true"
"ChmqODwuYP1ewjmWXtxtsg","Price Range","2"
"ChmqODwuYP1ewjmWXtxtsg","Takes Reservations","true"
"ChmqODwuYP1ewjmWXtxtsg","Caters","true"
"ChmqODwuYP1ewjmWXtxtsg","Noise Level","average"
"ChmqODwuYP1ewjmWXtxtsg","Has TV","false"
"ChmqODwuYP1ewjmWXtxtsg","Wheelchair Accessible","true"
"ChmqODwuYP1ewjmWXtxtsg","Good For Groups","true"
"ChmqODwuYP1ewjmWXtxtsg","Outdoor Seating","false"
"ChmqODwuYP1ewjmWXtxtsg","Wi-Fi","no"
"nBqXILuCGVZ4-aPuRKjCCg","Waiter Service","false"
"nBqXILuCGVZ4-aPuRKjCCg","Attire","casual"
"nBqXILuCGVZ4-aPuRKjCCg","Good for Kids","true"
"nBqXILuCGVZ4-aPuRKjCCg","Has TV","true"
"nBqXILuCGVZ4-aPuRKjCCg","Good For Groups","true"
"nBqXILuCGVZ4-aPuRKjCCg","Outdoor Seating","false"
"nBqXILuCGVZ4-aPuRKjCCg","Takes Reservations","false"
"IW9yHeqnFCEbO5s1UCrqeA","Wheelchair Accessible","true"
"IW9yHeqnFCEbO5s1UCrqeA","Accepts Credit Cards","true"
"IW9yHeqnFCEbO5s1UCrqeA","Price Range","1"
"GtSBeSaMK9aNJT8Ka4GkDQ","By Appointment Only","true"
"2Bd3gy5lmINZ-2QxXVRLdA","Accepts Credit Cards","true"
"2Bd3gy5lmINZ-2QxXVRLdA","Price Range","1"
"2Bd3gy5lmINZ-2QxXVRLdA","Outdoor Seating","true"
"2Bd3gy5lmINZ-2QxXVRLdA","Wi-Fi","free"
"Xa-NZsGIIU9BWrFetK0EvA","Accepts Credit Cards","true"
"Xa-NZsGIIU9BWrFetK0EvA","Price Range","3"
"-KF9RQPkmIOHfE0tzUu9bg","Wheelchair Accessible","true"
"-KF9RQPkmIOHfE0tzUu9bg","Accepts Credit Cards","true"
"-KF9RQPkmIOHfE0tzUu9bg","Outdoor Seating","true"
"-KF9RQPkmIOHfE0tzUu9bg","Price Range","1"
"-KF9RQPkmIOHfE0tzUu9bg","Wi-Fi","no"
"6w_k3NCXF_p8UTWDxpOF5w","Delivery","true"
"6w_k3NCXF_p8UTWDxpOF5w","Attire","casual"
"6w_k3NCXF_p8UTWDxpOF5w","Good for Kids","true"
"6w_k3NCXF_p8UTWDxpOF5w","Take-out","true"
"6w_k3NCXF_p8UTWDxpOF5w","Accepts Credit Cards","true"
"6w_k3NCXF_p8UTWDxpOF5w","Takes Reservations","false"
"6w_k3NCXF_p8UTWDxpOF5w","Caters","true"
"6w_k3NCXF_p8UTWDxpOF5w","Noise Level","average"
"6w_k3NCXF_p8UTWDxpOF5w","Has TV","false"
"6w_k3NCXF_p8UTWDxpOF5w","Good For Groups","true"
"6w_k3NCXF_p8UTWDxpOF5w","Outdoor Seating","false"
"8ZFPlegggez_VSoBoqRFvg","Price Range","1"
"yvSVDO3llx9Eg2lNreJqmg","Accepts Credit Cards","true"
"yvSVDO3llx9Eg2lNreJqmg","Price Range","2"
"Atbyj1_dXFUDysgvGKMdbw","By Appointment Only","false"
"Atbyj1_dXFUDysgvGKMdbw","Accepts Credit Cards","true"
"Atbyj1_dXFUDysgvGKMdbw","Price Range","2"
"1zM7busmXUfYrbNiIHIcuw","Good for Kids","true"
"MwIM3O0p8V_y2ttXz0_xGw","By Appointment Only","true"
"MFxhYRVqFcEZC009-6yfOw","Good for Kids","true"
"_DZfwU9dE9Q5I1-1jiM1vQ","Alcohol","full_bar"
"_DZfwU9dE9Q5I1-1jiM1vQ","Waiter Service","true"
"_DZfwU9dE9Q5I1-1jiM1vQ","Attire","casual"
"_DZfwU9dE9Q5I1-1jiM1vQ","Delivery","true"
"_DZfwU9dE9Q5I1-1jiM1vQ","Good for Kids","false"
"_DZfwU9dE9Q5I1-1jiM1vQ","Take-out","true"
"_DZfwU9dE9Q5I1-1jiM1vQ","Accepts Credit Cards","true"
"_DZfwU9dE9Q5I1-1jiM1vQ","Price Range","2"
"_DZfwU9dE9Q5I1-1jiM1vQ","Takes Reservations","false"
"_DZfwU9dE9Q5I1-1jiM1vQ","Smoking","yes"
"_DZfwU9dE9Q5I1-1jiM1vQ","Caters","false"
"_DZfwU9dE9Q5I1-1jiM1vQ","Noise Level","quiet"
"_DZfwU9dE9Q5I1-1jiM1vQ","Has TV","true"
"_DZfwU9dE9Q5I1-1jiM1vQ","Good For Groups","false"
"_DZfwU9dE9Q5I1-1jiM1vQ","Outdoor Seating","false"
"_DZfwU9dE9Q5I1-1jiM1vQ","Wi-Fi","no"
"_DZfwU9dE9Q5I1-1jiM1vQ","Good For Dancing","true"
"i52eORoeWujZ9y_w3Dos5Q","Wheelchair Accessible","true"
"i52eORoeWujZ9y_w3Dos5Q","Accepts Credit Cards","true"
"i52eORoeWujZ9y_w3Dos5Q","Price Range","2"
"AZqwEahCRmVpyMm-OzueGQ","By Appointment Only","false"
"AZqwEahCRmVpyMm-OzueGQ","Accepts Credit Cards","true"
"AZqwEahCRmVpyMm-OzueGQ","Price Range","2"
"z4GddMQN7_GqT8SYj4S0aw","Good for Kids","true"
"9ggd0DySEZNw990JGaFSQQ","Open 24 Hours","false"
"9ggd0DySEZNw990JGaFSQQ","Wheelchair Accessible","true"
"9ggd0DySEZNw990JGaFSQQ","Accepts Credit Cards","true"
"9ggd0DySEZNw990JGaFSQQ","Price Range","2"
"lK408BRA42pDIwk89dxSVQ","Accepts Credit Cards","true"
"lK408BRA42pDIwk89dxSVQ","Price Range","2"
"lK408BRA42pDIwk89dxSVQ","Wi-Fi","free"
"sSJeLgg3bQTR3vHkkJd9rQ","Accepts Credit Cards","true"
"sSJeLgg3bQTR3vHkkJd9rQ","Price Range","2"
"9nJi8n5l7ufJZ9PbhNJT8w","Accepts Credit Cards","true"
"9nJi8n5l7ufJZ9PbhNJT8w","Price Range","2"
"EeQlS9VLlfWT25-MeYsJTg","Alcohol","beer_and_wine"
"EeQlS9VLlfWT25-MeYsJTg","Waiter Service","false"
"EeQlS9VLlfWT25-MeYsJTg","Delivery","false"
"EeQlS9VLlfWT25-MeYsJTg","Attire","casual"
"EeQlS9VLlfWT25-MeYsJTg","Good for Kids","true"
"EeQlS9VLlfWT25-MeYsJTg","Take-out","true"
"EeQlS9VLlfWT25-MeYsJTg","Accepts Credit Cards","true"
"EeQlS9VLlfWT25-MeYsJTg","Price Range","1"
"EeQlS9VLlfWT25-MeYsJTg","Takes Reservations","false"
"EeQlS9VLlfWT25-MeYsJTg","Caters","true"
"EeQlS9VLlfWT25-MeYsJTg","Has TV","false"
"EeQlS9VLlfWT25-MeYsJTg","Wheelchair Accessible","true"
"EeQlS9VLlfWT25-MeYsJTg","Good For Groups","false"
"EeQlS9VLlfWT25-MeYsJTg","Outdoor Seating","true"
"4lmMryYEDFbRVLAJVSTKEg","By Appointment Only","false"
"4lmMryYEDFbRVLAJVSTKEg","Accepts Credit Cards","true"
"4lmMryYEDFbRVLAJVSTKEg","Price Range","2"
"yC3ydbHAJTZ22FZp4LynFg","Alcohol","none"
"yC3ydbHAJTZ22FZp4LynFg","Waiter Service","false"
"yC3ydbHAJTZ22FZp4LynFg","Attire","casual"
"yC3ydbHAJTZ22FZp4LynFg","Delivery","false"
"yC3ydbHAJTZ22FZp4LynFg","Good for Kids","true"
"yC3ydbHAJTZ22FZp4LynFg","Take-out","true"
"yC3ydbHAJTZ22FZp4LynFg","Accepts Credit Cards","true"
"yC3ydbHAJTZ22FZp4LynFg","Price Range","1"
"yC3ydbHAJTZ22FZp4LynFg","Takes Reservations","false"
